DateOfCall,CalYear,HourOfCall,IncidentGroup,PropertyCategory,PropertyType,NumPumpsAttending,PumpHoursRoundUp,Notional Cost (£),Date,CostCat
4,2016,9,2,5,91,1,1,326,04/11/2016,4
4,2016,9,0,0,47,2,1,326,04/11/2016,4
4,2016,9,0,4,92,1,1,326,04/11/2016,4
4,2016,9,2,2,22,2,1,326,04/11/2016,4
4,2016,10,0,2,9,1,1,326,04/11/2016,4
4,2016,10,2,2,8,1,1,326,04/11/2016,4
4,2016,10,0,2,8,1,1,326,04/11/2016,4
4,2016,10,2,4,16,1,1,326,04/11/2016,4
4,2016,10,2,5,46,2,2,652,04/11/2016,7
4,2016,10,2,5,34,1,1,326,04/11/2016,4
4,2016,10,0,0,0,1,1,326,04/11/2016,4
4,2016,10,2,5,33,1,1,326,04/11/2016,4
4,2016,10,2,5,93,1,1,326,04/11/2016,4
4,2016,10,2,5,94,3,1,326,04/11/2016,4
4,2016,10,1,0,0,1,1,326,04/11/2016,4
4,2016,10,2,5,33,1,1,326,04/11/2016,4
4,2016,10,2,2,22,2,1,326,04/11/2016,4
4,2016,10,2,5,68,1,1,326,04/11/2016,4
4,2016,10,1,5,70,2,2,652,04/11/2016,7
4,2016,10,0,2,12,1,1,326,04/11/2016,4
